"","x_coord","y_coord","complete_prob_17","complete_prob_18","complete_prob_19"
"160",-11,-9.5,0.92473787373135,0.89427372774549,0.925772126294149
"161",-10.5,-9.5,0.919297219749511,0.893490744726394,0.926033620654157
"162",-10,-9.5,0.91348967781578,0.892555112973909,0.925954019042661
"163",-9.5,-9.5,0.90737337557456,0.891491780665595,0.925565006293913
"164",-9,-9.5,0.901006440670251,0.890325695979009,0.92489826724217
"165",-8.5,-9.5,0.894447000747252,0.889081807091711,0.923985486721682
"166",-8,-9.5,0.887753183449965,0.887785062181261,0.922858349566705
"167",-7.5,-9.5,0.88098311642279,0.886460409425216,0.921548540611492
"168",-7,-9.5,0.874194927310127,0.885132797001136,0.920087744690296
"169",-6.5,-9.5,0.867446743756378,0.88382717308658,0.918507646637371
"170",-6,-9.5,0.860796693405942,0.882568485859105,0.91683993128697
"171",-5.5,-9.5,0.854302903903219,0.881381683496273,0.915116283473349
"172",-5,-9.5,0.848023502892611,0.88029171417564,0.913368388030758
"173",-4.5,-9.5,0.842016618018517,0.879323526074766,0.911627929793454
"174",-4,-9.5,0.836340376925339,0.878502067371211,0.909926593595688
"175",-3.5,-9.5,0.831052907257477,0.877852286242532,0.908296064271715
"176",-3,-9.5,0.826212336659331,0.877399130866289,0.906768026655788
"177",-2.5,-9.5,0.821876792775301,0.87716754942004,0.905374165582161
"178",-2,-9.5,0.818104403249789,0.877182490081345,0.904146165885088
"179",-1.5,-9.5,0.814953295727194,0.877468901027762,0.903115712398822
"180",-1,-9.5,0.812481597851918,0.87805173043685,0.902314489957616
"181",-0.5,-9.5,0.810747437268359,0.878955926486169,0.901774183395725
"182",0,-9.5,0.809808941620921,0.880206437353276,0.901526477547401
"183",0.5,-9.5,0.809703382374038,0.881817650682206,0.901597773755501
"184",1,-9.5,0.810384606272295,0.883761711982888,0.901975425059258
"185",1.5,-9.5,0.811785603880315,0.886000206231727,0.902629282932651
"186",2,-9.5,0.813839365762716,0.888494718405129,0.903529116295103
"187",2.5,-9.5,0.81647888248412,0.891206833479496,0.904644694066037
"188",3,-9.5,0.819637144609147,0.894098136431236,0.905945785164878
"189",3.5,-9.5,0.82324714270242,0.897130212236751,0.90740215851105
"190",4,-9.5,0.827241867328558,0.900264645872447,0.908983583023975
"191",4.5,-9.5,0.831554309052182,0.903463022314728,0.910659827623079
"192",5,-9.5,0.836117458437914,0.906686926539999,0.912400661227784
"193",5.5,-9.5,0.840864306050373,0.909897943524665,0.914175852757515
"194",6,-9.5,0.845727842454181,0.913057658245131,0.915955171131696
"195",6.5,-9.5,0.85064105821396,0.916127655677801,0.91770838526975
"196",7,-9.5,0.855536943894328,0.91906952079908,0.9194052640911
"197",7.5,-9.5,0.860348490059908,0.921844838585372,0.921015576515172
"198",8,-9.5,0.865008687275321,0.924415194013082,0.922509091461389
"199",8.5,-9.5,0.869450526105186,0.926742172058616,0.923855577849174
"200",9,-9.5,0.873606997114126,0.928787357698377,0.925024804597951
"201",9.5,-9.5,0.87741109086676,0.930512335908769,0.925986540627145
"202",10,-9.5,0.88079579792771,0.9318786916662,0.926710554856178
"203",10.5,-9.5,0.883694108861596,0.932848009947072,0.927166616204475
"204",11,-9.5,0.88603901423304,0.93338187572779,0.92732449359146
"205",11.5,-9.5,0.887763504606663,0.933441873984759,0.927153955936557
"206",12,-9.5,0.888800570547084,0.932989589694385,0.926624772159188
